"inventory_id","section","provider_or_pack","relative_path","file_type","title_guess","source_role","reuse_status","notes"
"RES-032","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Teen_AI_Literacy_Blueprint.pdf","pdf","Teen AI Literacy Blueprint","primary_reference","validated_reference_candidate","High-value item for learning-system expansion."
"RES-033","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Using AI to Implement Effective Teaching Strategies in Classrooms- Five Strategies, Including Prompts.pdf","pdf","Using AI to Implement Effective Teaching Strategies in Classrooms- Five Strategies, Including Prompts","primary_reference","validated_reference_candidate",""
"RES-034","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Using Codex with your ChatGPT plan _ OpenAI Help Center.pdf","pdf","Using Codex with your ChatGPT plan OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-035","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Using shopping research in ChatGPT _ OpenAI Help Center.pdf","pdf","Using shopping research in ChatGPT OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-036","downloaded_sources","OpenAI","downloaded_sources\OpenAI\What is ChatGPT_ _ OpenAI Help Center.pdf","pdf","What is ChatGPT OpenAI Help Center","primary_reference","validated_reference_candidate","High-value item for learning-system expansion."
"RES-037","downloaded_sources","OpenAI","downloaded_sources\OpenAI\What is Memory_ _ OpenAI Help Center.pdf","pdf","What is Memory OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-038","downloaded_sources","OpenAI","downloaded_sources\OpenAI\Why is my ChatGPT taking so long to respond_ _ OpenAI Help Center.pdf","pdf","Why is my ChatGPT taking so long to respond OpenAI Help Center","primary_reference","validated_reference_candidate",""
"RES-039","reference_catalog","codex_beginner_segment.md","reference_catalog\codex_beginner_segment.md","md","codex beginner segment","catalog_artifact","review_required",""
"RES-040","reference_catalog","detailed_resource_inventory.csv","reference_catalog\detailed_resource_inventory.csv","csv","detailed resource inventory","catalog_artifact","review_required",""
"RES-041","reference_catalog","detailed_resource_inventory.md","reference_catalog\detailed_resource_inventory.md","md","detailed resource inventory","catalog_artifact","review_required",""
"RES-042","reference_catalog","download_results_v2.json","reference_catalog\download_results_v2.json","json","download results v2","catalog_artifact","existing_download_log",""
"RES-043","reference_catalog","download_results.json","reference_catalog\download_results.json","json","download results","catalog_artifact","existing_download_log",""
"RES-044","reference_catalog","exercises_and_activity_bank.md","reference_catalog\exercises_and_activity_bank.md","md","exercises and activity bank","catalog_artifact","review_required",""
"RES-045","reference_catalog","learning_plan_expansion.md","reference_catalog\learning_plan_expansion.md","md","learning plan expansion","catalog_artifact","review_required",""
"RES-046","reference_catalog","official_resource_catalog_v2.html","reference_catalog\official_resource_catalog_v2.html","html","official resource catalog v2","catalog_artifact","existing_catalog",""
"RES-047","reference_catalog","official_resource_catalog.html","reference_catalog\official_resource_catalog.html","html","official resource catalog","catalog_artifact","existing_catalog",""
"RES-048","reference_catalog","official_sources_manifest_v2.json","reference_catalog\official_sources_manifest_v2.json","json","official sources manifest v2","catalog_artifact","existing_catalog",""
"RES-049","reference_catalog","official_sources_manifest.json","reference_catalog\official_sources_manifest.json","json","official sources manifest","catalog_artifact","existing_catalog",""
"RES-050","reference_catalog","slide_candidate_matrix.csv","reference_catalog\slide_candidate_matrix.csv","csv","slide candidate matrix","catalog_artifact","review_required",""
"RES-051","reference_catalog","slide_candidate_matrix.md","reference_catalog\slide_candidate_matrix.md","md","slide candidate matrix","catalog_artifact","review_required",""
"RES-052","reference_catalog","source_claim_validation.csv","reference_catalog\source_claim_validation.csv","csv","source claim validation","catalog_artifact","review_required",""
"RES-053","reference_catalog","source_claim_validation.md","reference_catalog\source_claim_validation.md","md","source claim validation","catalog_artifact","review_required",""
"RES-054","reference_catalog","teen_safe_use_and_parent_controls.md","reference_catalog\teen_safe_use_and_parent_controls.md","md","teen safe use and parent controls","catalog_artifact","review_required",""
"RES-055","reference_catalog","what_beginners_are_not_told.md","reference_catalog\what_beginners_are_not_told.md","md","what beginners are not told","catalog_artifact","review_required",""
"RES-056","workshop_pack","facilitator_script_word_for_word.html","workshop_pack\facilitator_script_word_for_word.html","html","facilitator script word for word","workshop_asset","example_or_partial_reuse",""
"RES-057","workshop_pack","facilitator_slides.html","workshop_pack\facilitator_slides.html","html","facilitator slides","workshop_asset","partial_reuse",""
"RES-058","workshop_pack","learner_worksheet.html","workshop_pack\learner_worksheet.html","html","learner worksheet","workshop_asset","example_or_partial_reuse",""
"RES-059","workshop_pack","learning_plan_ai_chatgpt_session.html","workshop_pack\learning_plan_ai_chatgpt_session.html","html","learning plan ai chatgpt session","workshop_asset","partial_reuse","High-value item for learning-system expansion."
"RES-060","workshop_pack","parent_guardian_setup_flow.html","workshop_pack\parent_guardian_setup_flow.html","html","parent guardian setup flow","workshop_asset","partial_reuse","High-value item for learning-system expansion."
"RES-061","workshop_pack","print_cards","workshop_pack\print_cards\printable_cards.html","html","printable cards","workshop_asset","example_or_partial_reuse",""
"RES-062","workshop_pack","project_sheets","workshop_pack\project_sheets\personal_project_sheet.html","html","personal project sheet","project_asset","example_or_partial_reuse",""
"RES-063","workshop_pack","project_sheets","workshop_pack\project_sheets\project_menu.html","html","project menu","project_asset","example_or_partial_reuse",""
"RES-064","workshop_pack","proposed_learning_plan_for_jennifer_review.html","workshop_pack\proposed_learning_plan_for_jennifer_review.html","html","proposed learning plan for jennifer review","workshop_asset","example_or_partial_reuse",""
"RES-065","workshop_pack","scripts","workshop_pack\scripts\facilitator_script.html","html","facilitator script","facilitator_asset","example_or_partial_reuse",""
"RES-066","workshop_pack","slides","workshop_pack\slides\facilitator_slides.html","html","facilitator slides","slide_asset","example_or_partial_reuse",""
"RES-067","workshop_pack","tool_walkthroughs.html","workshop_pack\tool_walkthroughs.html","html","tool walkthroughs","workshop_asset","partial_reuse","High-value item for learning-system expansion."
"RES-068","workshop_pack","worksheets","workshop_pack\worksheets\key_terms_glossary.html","html","key terms glossary","worksheet_asset","example_or_partial_reuse",""
"RES-069","workshop_pack","worksheets","workshop_pack\worksheets\learner_worksheet.html","html","learner worksheet","worksheet_asset","example_or_partial_reuse",""
"RES-070","workshop_pack","worksheets","workshop_pack\worksheets\prompt_template_sheet.html","html","prompt template sheet","worksheet_asset","example_or_partial_reuse",""
